2091-09-01	二零九一 辛亥[猪]年 七月小十八	周六	无	西王母诞	无	辛亥 丙申 己未 己巳	无	白露 (9, 7)	猪	处女座	诸事不宜	诸事不宜
2091-09-12	二零九一 辛亥[猪]年 七月小廿九	周三	无	杨公忌	无	辛亥 丁酉 庚午 辛巳	无	秋分 (9, 23)	猪	处女座	祭祀、捕捉、恤孤茕、覃恩、雪冤	安床、冠带、经络、开市、立券、修置产室、开渠、穿井、畋猎、启攒、鼓铸、开张、布政事、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、塞穴、苫盖、立券交易、取鱼
2091-09-13	二零九一 辛亥[猪]年 八月大初一	周四	无	许真君诞	无	辛亥 丁酉 辛未 癸巳	无	秋分 (9, 23)	猪	处女座	出行、宴会、上表章、上官、入学、进人口、开市、纳财、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、祈福	平治道涂、破屋坏垣、伐木、畋猎、安葬、启攒、营建、补垣、整手足甲、取鱼、修饰垣墙、乘船渡水、开仓、筑堤防
2091-09-14	二零九一 辛亥[猪]年 八月大初二	周五	无	无	世界清洁地球日	辛亥 丁酉 壬申 乙巳	无	秋分 (9, 23)	猪	处女座	祭祀、沐浴、剃头、经络、纳财、扫舍宇、栽种、牧养、整手足甲、恤孤茕、酝酿、裁制、整容、筑堤防、覃恩、补垣、安抚边境、选将、雪冤、塞穴、缮城郭	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、安葬、纳畜、纳采、针刺、举正直、临政、布政事、求嗣、解除、上册、颁诏、庆赐、开仓、营建、宣政事、施恩、修宫室、搬移、招贤、祈福、立券交易、出师、疗目
2091-09-15	二零九一 辛亥[猪]年 八月大初三	周六	无	司命灶君诞	无	辛亥 丁酉 癸酉 丁巳	无	秋分 (9, 23)	猪	处女座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
2091-09-16	二零九一 辛亥[猪]年 八月大初四	周日	无	无	无	辛亥 丁酉 甲戌 己巳	无	秋分 (9, 23)	猪	处女座	祭祀、出行、沐浴、剃头、扫舍宇、栽种、举正直、整手足甲、临政、解除、赴任、整容、施恩、诉讼	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、牧养、破土、安葬、启攒、纳畜、纳采、针刺、修仓库、求嗣、上册、酝酿、开仓、庆赐、安抚边境、选将、祈福、立券交易、出师
2091-09-17	二零九一 辛亥[猪]年 八月大初五	周一	无	雷声大帝诞	无	辛亥 丁酉 乙亥 辛巳	无	秋分 (9, 23)	猪	处女座	宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、牧养、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、补垣、营建、宣政事、修宫室、雪冤、塞穴、祈福、缮城郭、立券交易	祭祀、嫁娶、畋猎、破土、启攒、取鱼、乘船渡水
2091-09-18	二零九一 辛亥[猪]年 八月大初六	周二	无	无	“九·一八”事变纪念日	辛亥 丁酉 丙子 癸巳	无	秋分 (9, 23)	猪	处女座	祭祀、沐浴、平治道涂、入宅、修饰垣墙	上表章、冠带、修置产室、开渠、穿井、捕捉、畋猎、安葬、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、筑堤防、安抚边境、营建、宣政事、选将、招贤、出师、取鱼
2091-09-19	二零九一 辛亥[猪]年 八月大初七	周三	无	无	无	辛亥 丁酉 丁丑 乙巳	无	秋分 (9, 23)	猪	处女座	宴会、修造、进人口、竖柱上梁、经络、安碓硙、牧养、纳畜、纳采、酝酿、裁制、庆赐、修宫室、缮城郭	剃头、求医疗病、上表章、开市、修置产室、安抚边境、上册、选将、出师、开仓、整容、解除
2091-09-20	二零九一 辛亥[猪]年 八月大初八	周四	无	无	全国爱牙日	辛亥 丁酉 戊寅 丁巳	无	秋分 (9, 23)	猪	处女座	沐浴、捕捉、恤孤茕、覃恩、雪冤	祭祀、安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、鼓铸、布政事、酝酿、开仓、筑堤防、补垣、修宫室、修饰垣墙、塞穴、远回、取鱼
2091-09-21	二零九一 辛亥[猪]年 八月大初九	周五	无	无	国际和平日	辛亥 丁酉 己卯 己巳	无	秋分 (9, 23)	猪	处女座	诸事不宜	诸事不宜
2091-09-22	二零九一 辛亥[猪]年 八月大初十	周六	无	北斗大帝诞	无	辛亥 丁酉 庚辰 辛巳	无	秋分 (9, 23)	猪	处女座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	诸事不忌
2091-09-23	二零九一 辛亥[猪]年 八月大十一	周日	无	无	无	辛亥 丁酉 辛巳 癸巳	秋分	寒露 (10, 8)	猪	天秤座	祭祀、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、纳采、举正直、临政、恤孤茕、布政事、赴任、上册、裁制、庆赐、入宅、筑堤防、覃恩、修宫室、施恩、雪冤、祈福、缮城郭、立券交易	出行、破土、安葬、启攒
2091-09-24	二零九一 辛亥[猪]年 八月大十二	周一	无	西方五道诞	无	辛亥 丁酉 壬午 乙巳	无	寒露 (10, 8)	猪	天秤座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
2091-09-25	二零九一 辛亥[猪]年 八月大十三	周二	无	无	无	辛亥 丁酉 癸未 丁巳	无	寒露 (10, 8)	猪	天秤座	出行、宴会、上表章、上官、入学、进人口、竖柱上梁、开市、纳财、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、祈福	平治道涂、破屋坏垣、伐木、畋猎、补垣、营建、取鱼、修饰垣墙、筑堤防
2091-09-26	二零九一 辛亥[猪]年 八月大十四	周三	无	无	无	辛亥 丁酉 甲申 己巳	无	寒露 (10, 8)	猪	天秤座	祭祀、沐浴、剃头、经络、纳财、扫舍宇、栽种、牧养、整手足甲、恤孤茕、酝酿、裁制、整容、筑堤防、覃恩、补垣、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、安葬、纳畜、纳采、针刺、举正直、临政、布政事、求嗣、解除、上册、颁诏、乘船渡水、庆赐、开仓、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、立券交易、出师、疗目
2091-09-27	二零九一 辛亥[猪]年 八月大十五	周四	中秋节	无	世界旅游日	辛亥 丁酉 乙酉 辛巳	无	寒露 (10, 8)	猪	天秤座	祭祀、沐浴、扫舍宇、恤孤茕、覃恩、雪冤	宴会、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、鼓铸、布政事、乘船渡水、开仓、筑堤防、补垣、修饰垣墙、塞穴、苫盖、取鱼
2091-09-28	二零九一 辛亥[猪]年 八月大十六	周五	无	天曹掠刷真君降	无	辛亥 丁酉 丙戌 癸巳	无	寒露 (10, 8)	猪	天秤座	祭祀、出行、嫁娶、沐浴、剃头、修造、求医疗病、上官、纳财、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、求嗣、解除、赴任、入宅、整容、安抚边境、选将、施恩、搬移、祈福、诉讼、出师	宴会、上表章、进人口、经络、开市、修置产室、破土、启攒、针刺、修仓库、上册、酝酿、庆赐、开仓、立券交易
2091-09-29	二零九一 辛亥[猪]年 八月大十七	周六	无	无	无	辛亥 丁酉 丁亥 乙巳	无	寒露 (10, 8)	猪	天秤座	出行、宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、上册、裁制、庆赐、补垣、修宫室、塞穴、缮城郭、立券交易	祭祀、结婚姻、嫁娶、剃头、修造、破土、启攒、纳畜、纳采、安抚边境、举正直、选将、出师、施恩、招贤、整容
2091-09-30	二零九一 辛亥[猪]年 八月大十八	周日	无	天人兴福之辰	无	辛亥 丁酉 戊子 丁巳	无	寒露 (10, 8)	猪	天秤座	祭祀、沐浴、平治道涂、修饰垣墙	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师、取鱼
