1981-05-01	一九八一 辛酉[鸡]年 三月小廿七	周五	国际劳动节	七殿泰山王诞	无	辛酉 壬辰 己卯 己巳	无	立夏 (5, 5)	鸡	金牛座	覃恩、雪冤、塞穴、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师、疗目
1981-05-02	一九八一 辛酉[鸡]年 三月小廿八	周六	无	苍颉至圣先师诞	无	辛酉 壬辰 庚辰 辛巳	无	立夏 (5, 5)	鸡	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1981-05-03	一九八一 辛酉[鸡]年 三月小廿九	周日	无	无	世界新闻自由日	辛酉 壬辰 辛巳 癸巳	无	立夏 (5, 5)	鸡	金牛座	宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、经络、开市、纳财、扫舍宇、栽种、牧养、纳畜、纳采、整手足甲、临政、恤孤茕、布政事、解除、赴任、酝酿、开仓、庆赐、入宅、整容、覃恩、安抚边境、选将、雪冤、搬移、立券交易	出行、结婚姻、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、鼓铸、修仓库、求嗣、上册、颁诏、裁制、筑堤防、营建、补垣、宣政事、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭
1981-05-04	一九八一 辛酉[鸡]年 四月小初一	周一	无	八殿都市王诞	中国青年节	辛酉 壬辰 壬午 乙巳	无	立夏 (5, 5)	鸡	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、整手足甲、入宅、整容、筑堤防、修饰垣墙、苫盖、取鱼
1981-05-05	一九八一 辛酉[鸡]年 四月小初二	周二	无	无	马克思诞辰纪念日	辛酉 癸巳 癸未 丁巳	立夏	小满 (5, 21)	鸡	金牛座	覃恩、雪冤、恤孤茕、布政事	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
1981-05-06	一九八一 辛酉[鸡]年 四月小初三	周三	无	无	无	辛酉 癸巳 甲申 己巳	无	小满 (5, 21)	鸡	金牛座	祭祀、沐浴、扫舍宇、平治道涂	出行、安床、修造、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、纳采、针刺、鼓铸、举正直、布政事、修仓库、上册、颁诏、乘船渡水、裁制、庆赐、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、缮城郭、出师、取鱼
1981-05-07	一九八一 辛酉[鸡]年 四月小初四	周四	无	文殊菩萨诞	无	辛酉 癸巳 乙酉 辛巳	无	小满 (5, 21)	鸡	金牛座	祭祀、沐浴、剃头、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、整容、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	宴会、修置产室、畋猎、取鱼、开仓、苫盖
1981-05-08	一九八一 辛酉[鸡]年 四月小初五	周五	无	无	世界红十字日	辛酉 癸巳 丙戌 癸巳	无	小满 (5, 21)	鸡	金牛座	祭祀、宴会、沐浴、剃头、上表章、捕捉、举正直、整手足甲、恤孤茕、求嗣、上册、颁诏、裁制、庆赐、入宅、整容、覃恩、宣政事、施恩、雪冤、招贤、祈福	冠带、修置产室、畋猎、破土、启攒、取鱼、修宫室、乘船渡水、开仓、筑堤防
1981-05-09	一九八一 辛酉[鸡]年 四月小初六	周六	无	无	无	辛酉 癸巳 丁亥 乙巳	无	小满 (5, 21)	鸡	金牛座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
1981-05-10	一九八一 辛酉[鸡]年 四月小初七	周日	无	无	母亲节	辛酉 癸巳 戊子 丁巳	无	小满 (5, 21)	鸡	金牛座	祭祀、宴会、沐浴、裁制、庆赐	上表章、冠带、立券、修置产室、安葬、纳畜、营建、上册、开张、招贤、筑堤防、修仓库
1981-05-11	一九八一 辛酉[鸡]年 四月小初八	周一	无	释迦牟尼佛诞	世界肥胖日	辛酉 癸巳 己丑 己巳	无	小满 (5, 21)	鸡	金牛座	祭祀、出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳畜、纳采、举正直、临政、求嗣、解除、上册、酝酿、裁制、庆赐、开仓、施恩、祈福、立券交易	冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、营建、补垣、选将、远回、取鱼、出师、修饰垣墙、乘船渡水
