1921-03-11 10:00:00	一九二一 辛酉[鸡]年 二月小初二	星期五	春、龙、节、-、福、德、土、地、正、神、诞	辛酉 辛卯 癸酉 丁巳	无	春分 (3, 21)	鸡	双鱼座	诸事不宜	诸事不宜
1921-03-12 10:00:00	一九二一 辛酉[鸡]年 二月小初三	星期六	孙、中、山、逝、世、纪、念、日、,、中、国、植、树、节、文、昌、帝、君、诞	辛酉 辛卯 甲戌 己巳	无	春分 (3, 21)	鸡	双鱼座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、赴任、营建、纳畜、招贤、选将、施恩、解除、颁诏、修仓库、出师、祈福、缮城郭、取鱼、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、诉讼、裁制、搬移、安抚边境、庆赐、雪冤、临政	诸事不忌
1921-03-13 10:00:00	一九二一 辛酉[鸡]年 二月小初四	星期日	无	辛酉 辛卯 乙亥 辛巳	无	春分 (3, 21)	鸡	双鱼座	出行、宴会、沐浴、上表章、上官、入学、竖柱上梁、经络、安碓硙、牧养、纳畜、施恩、缮城郭、上册、举正直、筑堤防、酝酿、裁制、搬移、庆赐、临政、修宫室	嫁娶、破土、安葬、启攒、开仓
1921-03-14 10:00:00	一九二一 辛酉[鸡]年 二月小初五	星期一	马、克、思、逝、世、纪、念、日	辛酉 辛卯 丙子 癸巳	无	春分 (3, 21)	鸡	双鱼座	祭祀、沐浴、捕捉、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1921-03-15 10:00:00	一九二一 辛酉[鸡]年 二月小初六	星期二	国、际、消、费、者、权、益、日、东、华、帝、君、诞	辛酉 辛卯 丁丑 乙巳	无	春分 (3, 21)	鸡	双鱼座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、纳畜、招贤、施恩、选将、解除、颁诏、出师、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	剃头、冠带、伐木、畋猎、乘船渡水、补垣、整手足甲、塞穴、取鱼、鼓铸、整容
1921-03-16 10:00:00	一九二一 辛酉[鸡]年 二月小初七	星期三	无	辛酉 辛卯 戊寅 丁巳	无	春分 (3, 21)	鸡	双鱼座	经络、纳财、栽种、牧养、破土、安葬、纳畜、修仓库、缮城郭、补垣、筑堤防、覃恩、恤孤茕、立券交易、塞穴、酝酿、裁制、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、畋猎、营建、开仓、招贤、施恩、选将、解除、针刺、颁诏、出师、布政事、祈福、取鱼、上册、疗目、远回、纳采、求嗣、宣政事、举正直、修宫室、搬移、安抚边境、庆赐、临政
1921-03-17 10:00:00	一九二一 辛酉[鸡]年 二月小初八	星期四	国、际、航、海、日、释、迦、牟、尼、佛、出、家	辛酉 辛卯 己卯 己巳	无	春分 (3, 21)	鸡	双鱼座	宴会、上官、进人口、经络、纳财、牧养、纳畜、招贤、施恩、颁诏、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、庆赐、雪冤、临政	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、修饰垣墙、开仓、乘船渡水、补垣、苫盖、筑堤防、整容、取鱼、整手足甲
1921-03-18 10:00:00	一九二一 辛酉[鸡]年 二月小初九	星期五	全、国、科、技、人、才、活、动、日	辛酉 辛卯 庚辰 辛巳	无	春分 (3, 21)	鸡	双鱼座	出行、沐浴、剃头、扫舍宇、施恩、解除、整容、布政事、整手足甲、举正直、覃恩、恤孤茕、雪冤、临政	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、畋猎、牧养、破土、安葬、启攒、开仓、纳畜、选将、出师、修仓库、祈福、上册、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1921-03-19 10:00:00	一九二一 辛酉[鸡]年 二月小初十	星期六	无	辛酉 辛卯 辛巳 癸巳	无	春分 (3, 21)	鸡	双鱼座	宴会、竖柱上梁、经络、开市、纳财、赴任、布政事、祈福、入宅、覃恩、恤孤茕、立券交易、塞穴、裁制、庆赐、雪冤	祭祀、出行、结婚姻、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、破土、启攒、营建、纳畜、招贤、施恩、选将、颁诏、修饰垣墙、出师、取鱼、宣政事、举正直、筑堤防、安抚边境
1921-03-20 10:00:00	一九二一 辛酉[鸡]年 二月小十一	星期日	无	辛酉 辛卯 壬午 乙巳	无	春分 (3, 21)	鸡	双鱼座	祭祀、平治道涂、修饰垣墙、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、开张、颁诏、出师、布政事、修仓库、祈福、缮城郭、鼓铸、上册、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1921-03-21 10:00:00	一九二一 辛酉[鸡]年 二月小十二	星期一	世、界、森、林、日、,、世、界、睡、眠、日	辛酉 辛卯 癸未 丁巳	春分	清明 (4, 5)	鸡	白羊座	祭祀、结婚姻、宴会、嫁娶、冠带、进人口、竖柱上梁、经络、纳畜、布政事、祈福、纳采、求嗣、覃恩、恤孤茕、酝酿、裁制、庆赐、雪冤	剃头、求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、营建、开仓、选将、解除、针刺、整容、修饰垣墙、出师、补垣、上册、筑堤防、安抚边境
1921-03-22 10:00:00	一九二一 辛酉[鸡]年 二月小十三	星期二	世、界、水、日	辛酉 辛卯 甲申 己巳	无	清明 (4, 5)	鸡	白羊座	祭祀、沐浴、扫舍宇、捕捉、覃恩、恤孤茕、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、开仓、修饰垣墙、布政事、补垣、鼓铸、筑堤防、立券交易、塞穴、酝酿、修宫室
1921-03-23 10:00:00	一九二一 辛酉[鸡]年 二月小十四	星期三	世、界、气、象、日	辛酉 辛卯 乙酉 辛巳	无	清明 (4, 5)	鸡	白羊座	诸事不宜	诸事不宜
1921-03-24 10:00:00	一九二一 辛酉[鸡]年 二月小十五	星期四	世、界、防、治、结、核、病、日、释、迦、牟、尼、佛、般、涅、槃	辛酉 辛卯 丙戌 癸巳	无	清明 (4, 5)	鸡	白羊座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上官、进人口、竖柱上梁、经络、纳财、栽种、牧养、安葬、赴任、纳畜、开仓、选将、解除、祈福、缮城郭、入宅、取鱼、纳采、求嗣、立券交易、酝酿、诉讼、裁制、搬移、安抚边境、庆赐、临政、修宫室	剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、营建、招贤、颁诏、整容、修饰垣墙、出师、修仓库、布政事、补垣、鼓铸、上册、整手足甲、宣政事、筑堤防、塞穴
1921-03-25 10:00:00	一九二一 辛酉[鸡]年 二月小十六	星期五	无	辛酉 辛卯 丁亥 乙巳	无	清明 (4, 5)	鸡	白羊座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、开仓、纳畜、施恩、解除、修仓库、缮城郭、祈福、上册、纳采、求嗣、举正直、筑堤防、立券交易、酝酿、裁制、搬移、庆赐、临政、修宫室	嫁娶、剃头、破土、安葬、启攒、整容
1921-03-26 10:00:00	一九二一 辛酉[鸡]年 二月小十七	星期六	东、方、杜、将、军、诞	辛酉 辛卯 戊子 丁巳	无	清明 (4, 5)	鸡	白羊座	诸事不宜	诸事不宜
1921-03-27 10:00:00	一九二一 辛酉[鸡]年 二月小十八	星期日	至、圣、先、师、孔、子、讳、辰	辛酉 辛卯 己丑 己巳	无	清明 (4, 5)	鸡	白羊座	出行、宴会、修造、求医疗病、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、营建、纳畜、招贤、施恩、解除、颁诏、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、临政	冠带、伐木、畋猎、乘船渡水、开仓、补垣、塞穴、取鱼、鼓铸
1921-03-28 10:00:00	一九二一 辛酉[鸡]年 二月小十九	星期一	观、音、大、士、诞	辛酉 辛卯 庚寅 辛巳	无	清明 (4, 5)	鸡	白羊座	纳财、栽种、牧养、安葬、纳畜、选将、补垣、筑堤防、覃恩、恤孤茕、立券交易、塞穴、酝酿、裁制、安抚边境、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、修置产室、开渠、穿井、营建、开仓、招贤、施恩、解除、针刺、颁诏、出师、布政事、祈福、整手足甲、上册、疗目、远回、纳采、求嗣、宣政事、举正直、修宫室、搬移、庆赐、临政
1921-03-29 10:00:00	一九二一 辛酉[鸡]年 二月小二十	星期二	无	辛酉 辛卯 辛卯 癸巳	无	清明 (4, 5)	鸡	白羊座	宴会、上官、进人口、经络、纳财、赴任、纳畜、招贤、施恩、选将、出师、入宅、举正直、立券交易、裁制、安抚边境、庆赐、临政	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、营建、开仓、苫盖、解除、整容、修饰垣墙、补垣、取鱼、整手足甲、上册、乘船渡水、求嗣、筑堤防
1921-03-30 10:00:00	一九二一 辛酉[鸡]年 二月小廿一	星期三	普、贤、菩、萨、诞	辛酉 辛卯 壬辰 乙巳	无	清明 (4, 5)	鸡	白羊座	出行、沐浴、剃头、扫舍宇、施恩、解除、举正直、整容、临政	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、开渠、穿井、畋猎、牧养、破土、安葬、启攒、纳畜、开仓、选将、出师、修仓库、祈福、整手足甲、上册、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1921-03-31 10:00:00	一九二一 辛酉[鸡]年 二月小廿二	星期四	无	辛酉 辛卯 癸巳 丁巳	无	清明 (4, 5)	鸡	白羊座	宴会、竖柱上梁、经络、开市、纳财、祈福、立券交易、塞穴、裁制、庆赐	祭祀、出行、结婚姻、嫁娶、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、破土、启攒、营建、纳畜、招贤、施恩、选将、颁诏、修饰垣墙、出师、取鱼、纳采、宣政事、举正直、筑堤防、安抚边境
