2056-12-01	2056-10-25	30	建	五	丙子 己亥 丁亥	无	大雪 (12, 6)	无	无	无	沐浴 祭祀 馀事勿取	无
2056-12-02	2056-10-26	30	除	六	丙子 己亥 戊子	无	大雪 (12, 6)	无	无	无	修造 入宅 出火 出行 动土 嫁娶 安葬 开光 成服 拆卸 掘井 栽种 移徙 纳畜 解除 进人口 除服	安床 置产
2056-12-03	2056-10-27	30	满	日	丙子 己亥 己丑	无	大雪 (12, 6)	无	无	无	会亲友 安床 安门 开光 理发 结网 裁衣	上梁 伐木 入宅 冠笄 出火 出行 动土 嫁娶 安葬 栽种 祈福 移徙
2056-12-04	2056-10-28	30	平	一	丙子 己亥 庚寅	无	大雪 (12, 6)	无	无	无	上梁 交易 修造 入宅 出火 出行 动土 嫁娶 安床 开光 开市 拆卸 栽种 移徙 立券	伐木 作灶 掘井 祈福 祭祀 谢土
2056-12-05	2056-10-29	30	定	二	丙子 己亥 辛卯	无	大雪 (12, 6)	无	无	无	交易 伐木 入宅 出火 出行 嫁娶 安床 安葬 开光 开市 拆卸 挂匾 求嗣 祈福 祭祀 移徙 立券	掘井 栽种 置产
2056-12-06	2056-10-30	30	定	三	丙子 庚子 壬辰	大雪	冬至 (12, 21)	无	无	无	修造 入宅 冠笄 出火 塑绘 安床 安葬 开光 拆卸 纳采 裁衣 订盟 谢土 赴任	伐木 作灶 掘井 斋醮
2056-12-07	2056-11-1	29	执	四	丙子 庚子 癸巳	无	冬至 (12, 21)	无	无	无	上梁 伐木 修造 入宅 冠笄 动土 塑绘 嫁娶 安床 安香 开光 拆卸 捕捉 放水 畋猎 祭祀 移徙 竖柱 纳采 结网 裁衣 进人口	修坟 出行 安葬 开市
2056-12-08	2056-11-2	29	破	五	丙子 庚子 甲午	无	冬至 (12, 21)	无	无	无	坏垣 求医 破屋 祭祀 馀事勿取	诸事不宜
2056-12-09	2056-11-3	29	危	六	丙子 庚子 乙未	无	冬至 (12, 21)	无	无	无	入宅 冠笄 出行 启钻 安床 安机械 安香 成服 斋醮 祈福 祭祀 移徙 移柩 除服	作灶 安门 开光 栽种 治病
2056-12-10	2056-11-4	29	成	日	丙子 庚子 丙申	无	冬至 (12, 21)	无	无	无	修坟 修造 入殓 出行 启钻 塑绘 成服 拆卸 斋醮 移徙 移柩 立碑 解除 谢土 造船 除服	无
2056-12-11	2056-11-5	29	收	一	丙子 庚子 丁酉	无	冬至 (12, 21)	无	无	无	安床 捕捉 沐浴 畋猎 祭祀 纳财	开市 破土
2056-12-12	2056-11-6	29	开	二	丙子 庚子 戊戌	无	冬至 (12, 21)	无	无	无	上梁 修造 动土 破土 祈福 祭祀 纳采 订盟	作灶 嫁娶
2056-12-13	2056-11-7	29	闭	三	丙子 庚子 己亥	无	冬至 (12, 21)	无	无	无	出行 塞穴 沐浴 理发 补垣	入宅 安葬
2056-12-14	2056-11-8	29	建	四	丙子 庚子 庚子	无	冬至 (12, 21)	无	无	无	教牛马 馀事勿取	入宅 动土 破土
2056-12-15	2056-11-9	29	除	五	丙子 庚子 辛丑	无	冬至 (12, 21)	无	无	无	上梁 出行 嫁娶 求医 治病 祈福 祭祀 纳畜	安葬 开市
2056-12-16	2056-11-10	29	满	六	丙子 庚子 壬寅	无	冬至 (12, 21)	无	无	无	上梁 启钻 安机械 安葬 开光 开市 立券 解除	嫁娶 祈福
2056-12-17	2056-11-11	29	平	日	丙子 庚子 癸卯	无	冬至 (12, 21)	无	无	无	平治道涂 馀事勿取	诸事不宜
2056-12-18	2056-11-12	29	定	一	丙子 庚子 甲辰	无	冬至 (12, 21)	无	无	无	修造 入殓 出火 动土 塑绘 安机械 安葬 成服 拆卸 斋醮 栽种 求嗣 牧养 破土 移柩 纳畜 纳采 订盟 造桥 除服	嫁娶 开市
