1918-05-01	一九一八 戊午[马]年 三月小廿一	周三	国际劳动节	无	无	戊午 丙辰 戊申 丁巳	无	立夏 (5, 6)	马	金牛座	沐浴、扫舍宇、入宅	出行、安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、安葬、启攒、补垣、开仓、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、安抚边境、施恩、修饰垣墙、宣政事、取鱼、塞穴、远回、祈福
1918-05-02	一九一八 戊午[马]年 三月小廿二	周四	无	无	无	戊午 丙辰 己酉 己巳	无	立夏 (5, 6)	马	金牛座	祭祀、结婚姻、嫁娶、沐浴、剃头、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、临政、解除、恤孤茕、纳畜、布政事、整容、覃恩、酝酿、雪冤、取鱼、安抚边境、整手足甲、立券交易、祈福	出行、宴会、安床、修造、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、补垣、搬移、开仓、纳采、修仓库、乘船渡水、出师、招贤、筑堤防、选将、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、上册、修宫室
1918-05-03	一九一八 戊午[马]年 三月小廿三	周五	无	无	世界新闻自由日	戊午 丙辰 庚戌 辛巳	无	立夏 (5, 6)	马	金牛座	祭祀、沐浴、解除、恤孤茕、覃恩、雪冤	嫁娶、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴
1918-05-04	一九一八 戊午[马]年 三月小廿四	周六	无	无	中国青年节	戊午 丙辰 辛亥 癸巳	无	立夏 (5, 6)	马	金牛座	宴会、安床、沐浴、纳财、牧养、庆赐、布政事、选将、覃恩、安抚边境、取鱼、恤孤茕、纳畜、出师、雪冤	出行、嫁娶、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、补垣、开仓、修仓库、解除、筑堤防、酝酿、求嗣、营建、缮城郭、修饰垣墙、修宫室、祈福
1918-05-05	一九一八 戊午[马]年 三月小廿五	周日	无	无	马克思诞辰纪念日	戊午 丙辰 壬子 乙巳	无	立夏 (5, 6)	马	金牛座	结婚姻、宴会、沐浴、求医疗病、上表章、入学、竖柱上梁、经络、牧养、安葬、庆赐、临政、裁制、纳采、赴任、颁诏、恤孤茕、解除、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、取鱼、修饰垣墙、远回、开仓
1918-05-06	一九一八 戊午[马]年 三月小廿六	周一	无	无	无	戊午 丁巳 癸丑 丁巳	立夏	小满 (5, 22)	马	金牛座	出行、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、庆赐、临政、裁制、赴任、入宅、恤孤茕、纳畜、筑堤防、布政事、举正直、酝酿、覃恩、雪冤、缮城郭、施恩、上册、修宫室、立券交易	冠带、选将、取鱼、远回、乘船渡水、出师
1918-05-07	一九一八 戊午[马]年 三月小廿七	周二	无	七殿泰山王诞	无	戊午 丁巳 甲寅 己巳	无	小满 (5, 22)	马	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1918-05-08	一九一八 戊午[马]年 三月小廿八	周三	无	苍颉至圣先师诞	世界红十字日	戊午 丁巳 乙卯 辛巳	无	小满 (5, 22)	马	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、筑堤防、整容、布政事、补垣、取鱼、鼓铸、修饰垣墙、塞穴、整手足甲、开仓、入宅
1918-05-09	一九一八 戊午[马]年 三月小廿九	周四	无	无	无	戊午 丁巳 丙辰 癸巳	无	小满 (5, 22)	马	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、取鱼、宣政事、安抚边境、修饰垣墙、上册、塞穴、修宫室、整手足甲、疗目、祈福
1918-05-10	一九一八 戊午[马]年 四月大初一	周五	无	八殿都市王诞	无	戊午 丁巳 丁巳 乙巳	无	小满 (5, 22)	马	金牛座	宴会、上官、进人口、经络、纳财、庆赐、临政、裁制、颁诏、恤孤茕、纳畜、招贤、举正直、酝酿、覃恩、雪冤、施恩、宣政事、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲、祈福
1918-05-11	一九一八 戊午[马]年 四月大初二	周六	无	无	世界肥胖日	戊午 丁巳 戊午 丁巳	无	小满 (5, 22)	马	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、庆赐、裁制、入宅、整容、整手足甲	上表章、冠带、修置产室、招贤、筑堤防、修仓库、营建、取鱼、上册、苫盖、乘船渡水、纳畜
1918-05-12	一九一八 戊午[马]年 四月大初三	周日	无	无	母亲节	戊午 丁巳 己未 己巳	无	小满 (5, 22)	马	金牛座	诸事不宜	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、补垣、鼓铸、颁诏、乘船渡水、纳畜、出师、招贤、布政事、选将、整容、筑堤防、营建、安抚边境、修饰垣墙、宣政事、取鱼、远回、整手足甲
1918-05-13	一九一八 戊午[马]年 四月大初四	周一	无	文殊菩萨诞	无	戊午 丁巳 庚申 辛巳	无	小满 (5, 22)	马	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、整容、选将、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、修饰垣墙、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、布政事、筑堤防、补垣、取鱼、鼓铸、塞穴、修宫室、针刺
1918-05-14	一九一八 戊午[马]年 四月大初五	周二	无	无	无	戊午 丁巳 辛酉 癸巳	无	小满 (5, 22)	马	金牛座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、整容、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、整手足甲、祈福	宴会、修置产室、畋猎、取鱼、苫盖、乘船渡水、开仓
1918-05-15	一九一八 戊午[马]年 四月大初六	周三	无	无	无	戊午 丁巳 壬戌 乙巳	无	小满 (5, 22)	马	金牛座	沐浴、剃头、求医疗病、上表章、捕捉、整容、解除	出行、嫁娶、修造、开渠、穿井、安葬、修仓库、开仓
1918-05-16	一九一八 戊午[马]年 四月大初七	周四	无	无	无	戊午 丁巳 癸亥 丁巳	无	小满 (5, 22)	马	金牛座	沐浴、破屋坏垣、赴任、入宅	祭祀、结婚姻、宴会、嫁娶、剃头、上表章、上官、冠带、竖柱上梁、立券、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、开张、临政、裁制、开仓、修仓库、鼓铸、颁诏、解除、招贤、布政事、整容、筑堤防、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、取鱼、上册、塞穴、整手足甲、修宫室、祈福
