2087-05-01	二零八七 丁未[羊]年 三月大廿九	周四	国际劳动节	无	无	丁未 甲辰 乙未 辛巳	无	立夏 (5, 5)	羊	金牛座	诸事不宜	诸事不宜
2087-05-15	二零八七 丁未[羊]年 四月小十三	周四	无	无	无	丁未 乙巳 己酉 己巳	无	小满 (5, 21)	羊	金牛座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、布政事、求嗣、酝酿、裁制、整容、覃恩、修宫室、施恩、搬移、雪冤、祈福、缮城郭	宴会、上表章、修置产室、上册、苫盖
2087-05-16	二零八七 丁未[羊]年 四月小十四	周五	无	纯阳祖师诞	无	丁未 乙巳 庚戌 辛巳	无	小满 (5, 21)	羊	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、求医疗病、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭	经络、畋猎、取鱼、乘船渡水、开仓
2087-05-17	二零八七 丁未[羊]年 四月小十五	周六	无	钟离祖师诞	无	丁未 乙巳 辛亥 癸巳	无	小满 (5, 21)	羊	金牛座	沐浴、破屋坏垣、恤孤茕、解除、覃恩、雪冤	嫁娶、安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、酝酿、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
2087-05-18	二零八七 丁未[羊]年 四月小十六	周日	无	无	无	丁未 乙巳 壬子 乙巳	无	小满 (5, 21)	羊	金牛座	沐浴、恤孤茕、入宅、覃恩、雪冤	结婚姻、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、纳畜、鼓铸、举正直、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易
2087-05-19	二零八七 丁未[羊]年 四月小十七	周一	无	十殿转轮王诞	无	丁未 乙巳 癸丑 丁巳	无	小满 (5, 21)	羊	金牛座	宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、举正直、临政、恤孤茕、布政事、修仓库、上册、酝酿、裁制、庆赐、筑堤防、覃恩、修宫室、施恩、雪冤、缮城郭、立券交易	冠带、选将、取鱼、出师、远回、乘船渡水
2087-05-20	二零八七 丁未[羊]年 四月小十八	周二	无	紫徽大帝诞	无	丁未 乙巳 甲寅 己巳	无	小满 (5, 21)	羊	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
2087-05-21	二零八七 丁未[羊]年 四月小十九	周三	无	无	无	丁未 乙巳 乙卯 辛巳	小满	芒种 (6, 5)	羊	双子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、修饰垣墙、塞穴、开仓、入宅、布政事、筑堤防、整容
2087-05-22	二零八七 丁未[羊]年 四月小二十	周四	无	眼光圣母诞	无	丁未 乙巳 丙辰 癸巳	无	芒种 (6, 5)	羊	双子座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼、疗目
2087-05-23	二零八七 丁未[羊]年 四月小廿一	周五	无	无	世界读书日	丁未 乙巳 丁巳 乙巳	无	芒种 (6, 5)	羊	双子座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、赴任、酝酿、颁诏、裁制、庆赐、入宅、覃恩、宣政事、施恩、搬移、雪冤、招贤、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
2087-05-24	二零八七 丁未[羊]年 四月小廿二	周六	无	无	无	丁未 乙巳 戊午 丁巳	无	芒种 (6, 5)	羊	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、裁制、庆赐、整容	嫁娶、上表章、冠带、修置产室、纳畜、营建、上册、取鱼、乘船渡水、招贤、筑堤防、修仓库、苫盖
2087-05-25	二零八七 丁未[羊]年 四月小廿三	周日	无	无	无	丁未 乙巳 己未 己巳	无	芒种 (6, 5)	羊	双子座	诸事不宜	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、破土、启攒、纳畜、鼓铸、整手足甲、布政事、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、招贤、远回、出师、取鱼
2087-05-26	二零八七 丁未[羊]年 四月小廿四	周一	无	无	无	丁未 乙巳 庚申 辛巳	无	芒种 (6, 5)	羊	双子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、立券交易、出师	安床、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、针刺、补垣、鼓铸、修宫室、取鱼、塞穴、布政事、筑堤防
2087-05-27	二零八七 丁未[羊]年 四月小廿五	周二	无	无	上海解放日	丁未 乙巳 辛酉 癸巳	无	芒种 (6, 5)	羊	双子座	祭祀、沐浴、剃头、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、求嗣、颁诏、裁制、整容、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	宴会、修置产室、畋猎、取鱼、开仓、苫盖
2087-05-28	二零八七 丁未[羊]年 四月小廿六	周三	无	无	无	丁未 乙巳 壬戌 乙巳	无	芒种 (6, 5)	羊	双子座	沐浴、剃头、修造、求医疗病、上表章、捕捉、纳采、整手足甲、搬移、入宅、整容、解除	出行、开渠、穿井、安葬、开仓、修仓库
2087-05-29	二零八七 丁未[羊]年 四月小廿七	周四	无	无	无	丁未 乙巳 癸亥 丁巳	无	芒种 (6, 5)	羊	双子座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
2087-05-30	二零八七 丁未[羊]年 四月小廿八	周五	无	无	无	丁未 乙巳 甲子 己巳	无	芒种 (6, 5)	羊	双子座	宴会、沐浴、覃恩、雪冤、庆赐、恤孤茕、布政事	结婚姻、修造、求医疗病、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、纳畜、纳采、举正直、修仓库、求嗣、解除、上册、开仓、筑堤防、营建、施恩、修宫室、招贤、祈福、缮城郭、立券交易
2087-05-31	二零八七 丁未[羊]年 四月小廿九	周六	无	无	世界无烟日	丁未 乙巳 乙丑 辛巳	无	芒种 (6, 5)	羊	双子座	祭祀、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、立券交易	冠带、畋猎、远回、取鱼、乘船渡水
