2027-07-01	二零二七 丁未[羊]年 五月小廿七	周四	无	无	中国共产党诞生日,香港回归纪念日	丁未 丙午 辛巳 癸巳	无	小暑 (7, 7)	羊	巨蟹座	祭祀、栽种、牧养、纳畜、恤孤茕、裁制、筑堤防、覃恩、补垣、雪冤、塞穴、缮城郭	出行、修置产室、开渠、穿井、畋猎、破土、启攒、针刺、取鱼、修宫室、开仓、疗目
2027-07-02	二零二七 丁未[羊]年 五月小廿八	周五	无	无	无	丁未 丙午 壬午 乙巳	无	小暑 (7, 7)	羊	巨蟹座	覃恩、雪冤、入宅、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、远回、出师
2027-07-03	二零二七 丁未[羊]年 五月小廿九	周六	无	无	无	丁未 丙午 癸未 丁巳	无	小暑 (7, 7)	羊	巨蟹座	出行、结婚姻、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、破土、纳畜、举正直、整手足甲、临政、恤孤茕、布政事、解除、酝酿、庆赐、整容、覃恩、施恩、雪冤、立券交易	诸事不忌
2027-07-04	二零二七 丁未[羊]年 六月小初一	周日	无	无	无	丁未 丙午 甲申 己巳	无	小暑 (7, 7)	羊	巨蟹座	出行、嫁娶、沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、解除、上册、裁制、整容、补垣、修宫室、搬移、塞穴、缮城郭	祭祀、结婚姻、安床、纳采、举正直、取鱼、施恩、乘船渡水、招贤
2027-07-05	二零二七 丁未[羊]年 六月小初二	周一	无	无	无	丁未 丙午 乙酉 辛巳	无	小暑 (7, 7)	羊	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、整手足甲、整容、修饰垣墙	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、开张、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师
2027-07-06	二零二七 丁未[羊]年 六月小初三	周二	无	无	无	丁未 丙午 丙戌 癸巳	无	小暑 (7, 7)	羊	巨蟹座	祭祀、宴会、经络、安碓硙、举正直、恤孤茕、求嗣、酝酿、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、招贤、祈福	安床、开市、修置产室、畋猎、破土、启攒、开仓、筑堤防、取鱼
2027-07-07	二零二七 丁未[羊]年 六月小初四	周三	无	无	中国人民抗日战争纪念日	丁未 丁未 丁亥 乙巳	小暑	大暑 (7, 23)	羊	巨蟹座	出行、宴会、沐浴、修造、冠带、竖柱上梁、经络、安碓硙、纳畜、临政、恤孤茕、赴任、酝酿、裁制、庆赐、入宅、修宫室、搬移、雪冤、缮城郭	嫁娶、剃头、求医疗病、上表章、修置产室、栽种、破土、安葬、启攒、安抚边境、上册、选将、出师、取鱼、乘船渡水、开仓、整容、解除
2027-07-08	二零二七 丁未[羊]年 六月小初五	周四	无	无	无	丁未 丁未 戊子 丁巳	无	大暑 (7, 23)	羊	巨蟹座	祭祀、沐浴、剃头、捕捉、整手足甲、裁制、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、修仓库、求嗣、解除、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、安抚边境、补垣、营建、选将、施恩、修宫室、搬移、塞穴、祈福、招贤、缮城郭、立券交易、远回、出师、取鱼
2027-07-09	二零二七 丁未[羊]年 六月小初六	周五	无	无	无	丁未 丁未 己丑 己巳	无	大暑 (7, 23)	羊	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼、出师
2027-07-10	二零二七 丁未[羊]年 六月小初七	周六	无	无	无	丁未 丁未 庚寅 辛巳	无	大暑 (7, 23)	羊	巨蟹座	宴会、安床、上表章、开市、纳财、栽种、牧养、安葬、纳畜、安抚边境、立券交易、选将、酝酿、开仓	祭祀、嫁娶、修造、求医疗病、出师、祈福、修仓库、求嗣、解除
2027-07-11	二零二七 丁未[羊]年 六月小初八	周日	无	无	世界人口日	丁未 丁未 辛卯 癸巳	无	大暑 (7, 23)	羊	巨蟹座	祭祀、出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、纳采、举正直、临政、求嗣、解除、上册、裁制、庆赐、开仓、筑堤防、修宫室、施恩、祈福、缮城郭、立券交易	穿井、苫盖、出师、选将
