1901-06-13	一九零一 辛丑[牛]年 四月小廿七	周四	无	无	无	辛丑 甲午 壬戌 乙巳	无	夏至 (6, 22)	牛	双子座	祭祀、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、纳畜、酝酿、缮城郭、修宫室、祈福	求医疗病、开市、修置产室、开渠、穿井、栽种、解除、开仓
1901-06-14	一九零一 辛丑[牛]年 四月小廿八	周五	无	无	世界献血日	辛丑 甲午 癸亥 丁巳	无	夏至 (6, 22)	牛	双子座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1901-06-15	一九零一 辛丑[牛]年 四月小廿九	周六	无	无	无	辛丑 甲午 甲子 己巳	无	夏至 (6, 22)	牛	双子座	诸事不宜	诸事不宜
1901-06-16	一九零一 辛丑[牛]年 五月大初一	周日	无	南极长生大帝诞	父亲节	辛丑 甲午 乙丑 辛巳	无	夏至 (6, 22)	牛	双子座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1901-06-17	一九零一 辛丑[牛]年 五月大初二	周一	无	无	无	辛丑 甲午 丙寅 癸巳	无	夏至 (6, 22)	牛	双子座	结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、庆赐、临政、裁制、纳采、修仓库、颁诏、入宅、恤孤茕、解除、招贤、筑堤防、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、上册、修宫室、立券交易、祈福	祭祀、畋猎、取鱼、远回
1901-06-18	一九零一 辛丑[牛]年 五月大初三	周二	无	无	无	辛丑 甲午 丁卯 乙巳	无	夏至 (6, 22)	牛	双子座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、祈福
1901-06-19	一九零一 辛丑[牛]年 五月大初四	周三	无	无	无	辛丑 甲午 戊辰 丁巳	无	夏至 (6, 22)	牛	双子座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、牧养、庆赐、临政、搬移、裁制、纳采、赴任、颁诏、恤孤茕、解除、招贤、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、祈福、诉讼	平治道涂、破屋坏垣、伐木、畋猎、破土、筑堤防、选将、营建、补垣、取鱼、修饰垣墙、安抚边境、出师
1901-06-20	一九零一 辛丑[牛]年 五月大初五	周四	端午节	无	无	辛丑 甲午 己巳 己巳	无	夏至 (6, 22)	牛	双子座	祭祀、纳财、栽种、牧养、补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、缮城郭、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、立券、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、开张、临政、搬移、开仓、纳采、颁诏、乘船渡水、解除、出师、招贤、布政事、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、祈福
1901-06-21	一九零一 辛丑[牛]年 五月大初六	周五	无	无	无	辛丑 甲午 庚午 辛巳	无	夏至 (6, 22)	牛	双子座	诸事不宜	诸事不宜
1901-06-22	一九零一 辛丑[牛]年 五月大初七	周六	无	无	无	辛丑 甲午 辛未 癸巳	夏至	小暑 (7, 8)	牛	巨蟹座	祭祀、宴会、沐浴、剃头、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、破土、安葬、庆赐、临政、裁制、纳采、修仓库、赴任、颁诏、解除、入宅、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、立券交易、祈福	畋猎、取鱼
1901-06-23	一九零一 辛丑[牛]年 五月大初八	周日	无	南方五道诞	无	辛丑 甲午 壬申 乙巳	无	小暑 (7, 8)	牛	巨蟹座	出行、沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、补垣、搬移、裁制、解除、出师、整容、选将、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲	祭祀、结婚姻、安床、开渠、穿井、招贤、举正直、施恩、纳采
1901-06-24	一九零一 辛丑[牛]年 五月大初九	周一	无	无	无	辛丑 甲午 癸酉 丁巳	无	小暑 (7, 8)	牛	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、整容、修饰垣墙、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
1901-06-25	一九零一 辛丑[牛]年 五月大初十	周二	无	无	无	辛丑 甲午 甲戌 己巳	无	小暑 (7, 8)	牛	巨蟹座	祭祀、结婚姻、宴会、嫁娶、上官、冠带、进人口、竖柱上梁、经络、安碓硙、庆赐、临政、裁制、纳采、纳畜、酝酿、缮城郭、修宫室、祈福	求医疗病、开市、修置产室、栽种、开仓、解除
1901-06-26	一九零一 辛丑[牛]年 五月大十一	周三	无	天下都城隍诞	无	辛丑 甲午 乙亥 辛巳	无	小暑 (7, 8)	牛	巨蟹座	祭祀、沐浴、捕捉、恤孤茕、覃恩、雪冤	嫁娶、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1901-06-27	一九零一 辛丑[牛]年 五月大十二	周四	无	炳灵公诞	无	辛丑 甲午 丙子 癸巳	无	小暑 (7, 8)	牛	巨蟹座	祭祀、沐浴、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、入宅、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、苫盖、整手足甲、修宫室、祈福
1901-06-28	一九零一 辛丑[牛]年 五月大十三	周五	无	关圣降	无	辛丑 甲午 丁丑 乙巳	无	小暑 (7, 8)	牛	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1901-06-29	一九零一 辛丑[牛]年 五月大十四	周六	无	无	无	辛丑 甲午 戊寅 丁巳	无	小暑 (7, 8)	牛	巨蟹座	结婚姻、宴会、求医疗病、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、庆赐、临政、裁制、开仓、纳采、修仓库、解除、筑堤防、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、立券交易、祈福	祭祀、安葬、选将、远回、乘船渡水、出师
1901-06-30	一九零一 辛丑[牛]年 五月大十五	周日	无	无	无	辛丑 甲午 己卯 己巳	无	小暑 (7, 8)	牛	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、整手足甲、祈福
